MARCA,MODELO,URL,PRECIO_LISTA,PRECIO_DESDE,PRECIO_BONO,legal_bono,FECHA_EXTRACCION
YAMAHA,KODIAK 450,https://www.yamahamotos.cl/producto/kodiak-450/,10.190.000,10.190.000,0,0,2023-02-28 11:22:06.872558
YAMAHA,MT-03A,https://www.yamahamotos.cl/producto/yamaha-mt-03/#motos,6.090.000,5.690.000,0,400.000,2023-02-28 11:22:10.132105
YAMAHA,MT-07A,https://www.yamahamotos.cl/producto/yamaha-mt-07/,8.990.000,8.990.000,0,0,2023-02-28 11:22:13.724407
YAMAHA,MT-09A,https://www.yamahamotos.cl/producto/mt09/,12.340.000,12.340.000,0,0,2023-02-28 11:22:16.782488
YAMAHA,MT-10,https://www.yamahamotos.cl/producto/mt-10-2/,15.790.000,15.790.000,0,0,2023-02-28 11:22:19.840458
YAMAHA,NMAX,https://www.yamahamotos.cl/producto/nmax-connected/,3.890.000,3.590.000,0,300.000,2023-02-28 11:22:23.390518
YAMAHA,PW-50,https://www.yamahamotos.cl/producto/pw-50/,2.299.000,2.299.000,0,0,2023-02-28 11:22:26.661356
YAMAHA,RAY-ZR,https://www.yamahamotos.cl/producto/cygnusrayzr/,1.999.000,1.899.000,0,0,2023-02-28 11:22:30.046003
YAMAHA,TENERE 700,https://www.yamahamotos.cl/producto/tenere-700/,13.490.000,13.490.000,0,0,2023-02-28 11:22:33.191544
YAMAHA,TT-R110E,https://www.yamahamotos.cl/producto/ttr-110e/,2.690.000,2.690.000,0,0,2023-02-28 11:22:36.811212
YAMAHA,WR-250F,https://www.yamahamotos.cl/producto/wr-250f/,9.359.000,9.359.000,0,0,2023-02-28 11:22:40.056856
YAMAHA,X-MAX 300,https://www.yamahamotos.cl/producto/scooter-yamaha-xmax-300/,6.690.000,5.590.000,5.990.000,400.000,2023-02-28 11:22:43.230879
YAMAHA,XT-1200 ZE,https://www.yamahamotos.cl/producto/xt-1200-ze/,15.990.000,15.990.000,0,0,2023-02-28 11:22:46.452981
YAMAHA,XTZ-125E,https://www.yamahamotos.cl/producto/xtz-125/,2.149.000,1.999.000,1.999.000,0,2023-02-28 11:22:49.603321
YAMAHA,XTZ-150,https://www.yamahamotos.cl/producto/xtz150/,2.699.000 ,2.499.000,2.499.000,0,2023-02-28 11:23:40.710653
YAMAHA,XVS-950 BOLT,https://www.yamahamotos.cl/producto/bolt/,11.590.000,11.590.000,0,0,2023-02-28 11:23:43.852255
YAMAHA,YBR-125Z,https://www.yamahamotos.cl/producto/ybr-125/,0,1.499.000,0,0,2023-02-28 11:23:47.561002
YAMAHA,YFM - 350A,https://www.yamahamotos.cl/producto/yfm-350a/,7.690.000,7.690.000,0,0,2023-02-28 11:23:50.725508
YAMAHA,YFM-700 FWAD,https://www.yamahamotos.cl/producto/new-grizzly-eps-se/,12.590.000,12.590.000,0,0,2023-02-28 11:23:53.970734
YAMAHA,YFM-90R,https://www.yamahamotos.cl/producto/yfm-90r-2/,3.149.000,2.999.000,2.999.000,0,2023-02-28 11:23:57.560816
YAMAHA,YZ-125,https://www.yamahamotos.cl/producto/yz-125/,0,7.400.000,0,0,2023-02-28 11:24:01.231043
YAMAHA,YZ-125X,https://www.yamahamotos.cl/producto/yz-125x-2t/,7.559.000,7.559.000,0,0,2023-02-28 11:24:04.830561
YAMAHA,YZ-250F,https://www.yamahamotos.cl/producto/new-yz-250f/#motos,8.999.000,8.999.000,0,0,2023-02-28 11:24:08.361013
YAMAHA,YZ-250FX,https://www.yamahamotos.cl/producto/new-yz-250fx-2023/,9.290.000,9.290.000,0,0,2023-02-28 11:24:11.981059
YAMAHA,YZ-250X,https://www.yamahamotos.cl/producto/yz-250x/,7.999.000,7.999.000,0,0,2023-02-28 11:24:15.880108
YAMAHA,YZ-450F,https://www.yamahamotos.cl/producto/new-yz-450f/,8.090.000,7.690.000,0,0,2023-02-28 11:24:19.534739
YAMAHA,YZ-450FX,https://www.yamahamotos.cl/producto/new-yz-450fx-2023/,9.490.000,9.490.000,0,0,2023-02-28 11:24:22.741048
YAMAHA,YZ-65,https://www.yamahamotos.cl/producto/yz-65/,4.890.000,4.890.000,0,0,2023-02-28 11:24:25.902166
