MARCA,MODELO,URL,precio_desde,legal_bono,precio_bono,precio_lista,fecha_extraccion
YAMAHA,WR-250F,https://www.yamahamotos.cl/producto/wr-250f/,9.359.000,0,0,9.359.000,2023-02-20 13:34:54.797766
YAMAHA,X-MAX 300,https://www.yamahamotos.cl/producto/scooter-yamaha-xmax-300/,5.590.000,400.000,5.990.000,6.690.000,2023-02-20 13:34:57.210187
YAMAHA,XT-1200 ZE,https://www.yamahamotos.cl/producto/xt-1200-ze/,15.990.000,0,0,15.990.000,2023-02-20 13:34:59.255659
YAMAHA,XTZ-125E,https://www.yamahamotos.cl/producto/xtz-125/,1.999.000,0,1.999.000,2.149.000,2023-02-20 13:35:01.526156
YAMAHA,XTZ-150,https://www.yamahamotos.cl/producto/xtz150/,0,0,0,0,2023-02-20 13:35:03.767298
YAMAHA,XVS-950 BOLT,https://www.yamahamotos.cl/producto/bolt/,11.590.000,0,0,11.590.000,2023-02-20 13:35:05.849084
YAMAHA,YBR-125Z,https://www.yamahamotos.cl/producto/ybr-125/,1.499.000,0,0,0,2023-02-20 13:35:08.070802
YAMAHA,YFM - 350A,https://www.yamahamotos.cl/producto/yfm-350a/,7.690.000,0,0,7.690.000,2023-02-20 13:35:10.312063
YAMAHA,YFM-700 FWAD,https://www.yamahamotos.cl/producto/new-grizzly-eps-se/,12.590.000,0,0,12.590.000,2023-02-20 13:35:12.473406
YAMAHA,YFM-90R,https://www.yamahamotos.cl/producto/yfm-90r-2/,2.999.000,0,2.999.000,3.149.000,2023-02-20 13:35:14.458598
YAMAHA,YZ-125,https://www.yamahamotos.cl/producto/yz-125/,7.400.000,0,0,0,2023-02-20 13:35:16.678914
YAMAHA,YZ-125X,https://www.yamahamotos.cl/producto/yz-125x-2t/,7.559.000,0,0,7.559.000,2023-02-20 13:35:18.954778
YAMAHA,YZ-250F,https://www.yamahamotos.cl/producto/new-yz-250f/#motos,8.999.000,0,0,8.999.000,2023-02-20 13:35:21.185693
YAMAHA,YZ-250FX,https://www.yamahamotos.cl/producto/new-yz-250fx-2023/,9.290.000,0,0,9.290.000,2023-02-20 13:35:23.248177
YAMAHA,YZ-250X,https://www.yamahamotos.cl/producto/yz-250x/,7.999.000,0,0,7.999.000,2023-02-20 13:35:25.684646
YAMAHA,YZ-450F,https://www.yamahamotos.cl/producto/new-yz-450f/,7.690.000,0,0,8.090.000,2023-02-20 13:35:27.705567
YAMAHA,YZ-450FX,https://www.yamahamotos.cl/producto/new-yz-450fx-2023/,9.490.000,0,0,9.490.000,2023-02-20 13:35:29.909718
YAMAHA,YZ-65,https://www.yamahamotos.cl/producto/yz-65/,4.890.000,0,0,4.890.000,2023-02-20 13:35:31.939334
YAMAHA,YZ-85LW,https://www.yamahamotos.cl/producto/yz-85lw-2/,6.100.000,0,0,6.100.000,2023-02-20 13:35:34.593229
YAMAHA,YZF-R1,https://www.yamahamotos.cl/producto/r1/,21.390.000,0,0,21.390.000,2023-02-20 13:35:37.370934
YAMAHA,YZF-R15,https://www.yamahamotos.cl/producto/new-r15-v4/,3.990.000,400.000,0,4.390.000,2023-02-20 13:35:39.975445
YAMAHA,YZF-R3A,https://www.yamahamotos.cl/producto/r3-a/,5.890.000,400.000,0,6.290.000,2023-02-20 13:35:42.285650
YAMAHA,YZF-R7,https://www.yamahamotos.cl/producto/r7/,10.990.000,500.000,11.490.000,11.990.000,2023-02-20 13:35:44.575333
YAMAHA,WR-450F,https://www.yamahamotos.cl/producto/wr-450f/,9.669.000,0,0,9.669.000,2023-02-20 13:35:46.897881
YAMAHA,YZ-250,https://www.yamahamotos.cl/producto/yz-250/,7.800.000,0,0,0,2023-02-20 13:35:49.236395
YAMAHA,TENERE 700 TOURING,https://www.yamahamotos.cl/producto/tenere-700-touring/,14.740.000,0,0,0,2023-02-20 13:35:51.486281
YAMAHA,TRACER 9 GT,https://www.yamahamotos.cl/producto/tracer-900-gt/,14.990.000,0,0,14.990.000,2023-02-20 13:35:53.896520
YAMAHA,XSR-700,https://www.yamahamotos.cl/producto/xsr-700/,9.890.000,0,0,9.890.000,2023-02-20 13:35:56.442571
